batting_team,partnership,batter1,batter2,partner_labels,net_runs,batter1_runs,batter2_runs,matches
South East Stars,HV Jones & NE Farrant,HV Jones,NE Farrant,HV Jones & NE Farrant (South East Stars),14,5,4,2
South East Stars,HV Jones & PA Franklin,HV Jones,PA Franklin,HV Jones & PA Franklin (South East Stars),24,8,8,1
South East Stars,HV Jones & SE Rowe,HV Jones,SE Rowe,HV Jones & SE Rowe (South East Stars),47,16,28,1
South East Stars,K Moore & GJ Gibbs,K Moore,GJ Gibbs,K Moore & GJ Gibbs (South East Stars),32,18,11,1
South East Stars,K Moore & KM Chathli,K Moore,KM Chathli,K Moore & KM Chathli (South East Stars),4,3,1,1
South East Stars,KE White & A Capsey,KE White,A Capsey,KE White & A Capsey (South East Stars),96,52,33,4
South East Stars,KE White & BF Smith,KE White,BF Smith,KE White & BF Smith (South East Stars),24,6,17,1
South East Stars,KE White & C Brewer,KE White,C Brewer,KE White & C Brewer (South East Stars),65,30,28,2
South East Stars,KE White & K Moore,KE White,K Moore,KE White & K Moore (South East Stars),8,1,7,1
South East Stars,KE White & SIR Dunkley,KE White,SIR Dunkley,KE White & SIR Dunkley (South East Stars),40,15,16,2
