match_id,season,start_date,innings,batting_team,bowling_team,partnership,runs_off_bat,net_runs,batter1,batter1_runs,batter2,batter2_runs,message,partner_labels
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,AJ Macleod & CL Griffith,0,0,AJ Macleod,0,CL Griffith,0,vs Western Storm (05-09-2020),AJ Macleod & CL Griffith (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,CL Griffith & AD Carr,0,2,CL Griffith,0,AD Carr,0,vs Western Storm (05-09-2020),CL Griffith & AD Carr (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,G Scrivens & GKS Gole,6,6,G Scrivens,2,GKS Gole,4,vs Western Storm (05-09-2020),G Scrivens & GKS Gole (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,G Scrivens & J Gardner,40,51,G Scrivens,16,J Gardner,24,vs Western Storm (05-09-2020),G Scrivens & J Gardner (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,G Scrivens & ND Dattani,28,31,G Scrivens,8,ND Dattani,20,vs Western Storm (05-09-2020),G Scrivens & ND Dattani (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,KJ Wolfe & E Thorpe,15,17,KJ Wolfe,3,E Thorpe,12,vs Western Storm (05-09-2020),KJ Wolfe & E Thorpe (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,KJ Wolfe & J Gardner,7,7,KJ Wolfe,0,J Gardner,7,vs Western Storm (05-09-2020),KJ Wolfe & J Gardner (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,KS Castle & J Gardner,31,34,KS Castle,8,J Gardner,23,vs Western Storm (05-09-2020),KS Castle & J Gardner (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,ND Dattani & CL Griffith,22,31,ND Dattani,7,CL Griffith,15,vs Western Storm (05-09-2020),ND Dattani & CL Griffith (Sunrisers)
1229335,2020,05-09-2020,2,Sunrisers,Western Storm,Sonali Patel & J Gardner,0,0,Sonali Patel,0,J Gardner,0,vs Western Storm (05-09-2020),Sonali Patel & J Gardner (Sunrisers)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,AJ Freeborn & LF Higham,10,12,AJ Freeborn,7,LF Higham,3,vs Northern Diamonds (05-09-2020),AJ Freeborn & LF Higham (Lightning)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,AJ Freeborn & SJ Bryce,54,56,AJ Freeborn,27,SJ Bryce,27,vs Northern Diamonds (05-09-2020),AJ Freeborn & SJ Bryce (Lightning)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,G Ballinger & AD Presland,8,9,G Ballinger,4,AD Presland,4,vs Northern Diamonds (05-09-2020),G Ballinger & AD Presland (Lightning)
1229336,2020,05-09-2020,1,Lightning,Northern Diamonds,KE Bryce & SJ Bryce,12,15,KE Bryce,7,SJ Bryce,5,vs Northern Diamonds (05-09-2020),KE Bryce & SJ Bryce (Lightning)
