season,batting_team,partnership,batter1,batter2,net_runs,batter1_runs,batter2_runs
2021,Central Sparks,GM Davies & Marie Kelly,GM Davies,Marie Kelly,18,6,7
2021,Thunder,E Threlkeld & EL Lamb,E Threlkeld,EL Lamb,18,6,9
2021,Lightning,KE Bryce & B Harmer,KE Bryce,B Harmer,18,15,2
2021,Central Sparks,CAE Hill & GK Davis,CAE Hill,GK Davis,18,8,4
2020,South East Stars,AG Gordon & A Capsey,AG Gordon,A Capsey,18,7,7
2020,Thunder,S Ecclestone & KL Cross,S Ecclestone,KL Cross,18,9,8
2021,South East Stars,A Capsey & K Moore,A Capsey,K Moore,17,9,7
2021,South East Stars,KM Chathli & Emma Jones,KM Chathli,Emma Jones,17,11,5
2021,Southern Vipers,CE Dean & GA Elwiss,CE Dean,GA Elwiss,17,12,2
2021,Lightning,T Graves & ML Kirk,T Graves,ML Kirk,17,5,8
2020,Central Sparks,AE Jones & GM Davies,AE Jones,GM Davies,17,6,9
2021,Lightning,E Claridge & KE Bryce,E Claridge,KE Bryce,17,7,6
2020,Sunrisers,KJ Wolfe & E Thorpe,KJ Wolfe,E Thorpe,17,3,12
2020,Sunrisers,AJ Macleod & M Rogers,AJ Macleod,M Rogers,17,12,3
2020,South East Stars,PA Franklin & C Brewer,PA Franklin,C Brewer,16,7,9
2020,Thunder,A Hartley & R Duckworth,A Hartley,R Duckworth,16,8,2
2021,Lightning,KL Gordon & E Claridge,KL Gordon,E Claridge,16,3,12
2021,Sunrisers,ND Dattani & AJ Macleod,ND Dattani,AJ Macleod,16,7,9
2021,Southern Vipers,GH Lewis & ME Bouchier,GH Lewis,ME Bouchier,15,1,13
2020,Thunder,KL Cross & N Brown,KL Cross,N Brown,15,3,12
2021,Thunder,L Jackson & KL Cross,L Jackson,KL Cross,15,4,9
2020,Sunrisers,FC Wilson & ND Dattani,FC Wilson,ND Dattani,15,11,2
2020,Sunrisers,CL Griffith & AD Carr,CL Griffith,AD Carr,15,1,6
2020,Western Storm,DR Gibson & EM Edgcombe,DR Gibson,EM Edgcombe,15,14,1
2020,Western Storm,N Holland & E Corney,N Holland,E Corney,15,6,9
2021,Central Sparks,EA Russell & IECM Wong,EA Russell,IECM Wong,15,8,7
2020,Northern Diamonds,NR Sciver & HJ Armitage,NR Sciver,HJ Armitage,15,11,4
2020,Central Sparks,E Jones & CAE Hill,E Jones,CAE Hill,15,7,5
2020,Central Sparks,S Glenn & TF Brookes,S Glenn,TF Brookes,15,11,4
2021,Lightning,LF Higham & E Claridge,LF Higham,E Claridge,15,7,7
2021,Western Storm,SN Luff & NAJ Wraith,SN Luff,NAJ Wraith,15,7,6
2021,Sunrisers,J Gardner & FC Wilson,J Gardner,FC Wilson,15,3,11
2020,Southern Vipers,CM Taylor & AZ Monaghan,CM Taylor,AZ Monaghan,14,10,3
2020,Northern Diamonds,SL Kalis & LCN Smith,SL Kalis,LCN Smith,14,5,7
2020,Sunrisers,E Thorpe & KL Midwood,E Thorpe,KL Midwood,14,11,3
2020,South East Stars,E Gray & HV Jones,E Gray,HV Jones,14,3,11
2020,South East Stars,AN Davidson-Richards & PA Franklin,AN Davidson-Richards,PA Franklin,14,4,5
2021,South East Stars,AN Davidson-Richards & KE White,AN Davidson-Richards,KE White,14,3,4
2020,Thunder,L Jackson & GEB Boyce,L Jackson,GEB Boyce,14,1,10
2020,South East Stars,HV Jones & NE Farrant,HV Jones,NE Farrant,14,5,4
2021,Thunder,KL Cross & N Brown,KL Cross,N Brown,14,6,8
2020,Northern Diamonds,JL Gunn & BAM Heath,JL Gunn,BAM Heath,13,7,6
2021,Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,13,2,11
2020,Lightning,LG Kellogg & S Pai,LG Kellogg,S Pai,13,1,6
2020,Western Storm,NAJ Wraith & HC Knight,NAJ Wraith,HC Knight,13,7,5
2020,Lightning,N Harman & S Munro,N Harman,S Munro,13,11,2
2021,Western Storm,N Harvey & MJ Robbins,N Harvey,MJ Robbins,13,9,3
2020,South East Stars,BF Smith & C Brewer,BF Smith,C Brewer,13,8,4
2020,Lightning,AJ Freeborn & N Harman,AJ Freeborn,N Harman,13,2,11
2020,Northern Diamonds,PC Graham & SL Kalis,PC Graham,SL Kalis,13,5,8
2020,Sunrisers,KS Castle & M Rogers,KS Castle,M Rogers,12,3,7
2020,Lightning,SJ Bryce & N Harman,SJ Bryce,N Harman,12,12,0
2021,Sunrisers,KS Castle & Sonali Patel,KS Castle,Sonali Patel,12,1,5
2021,South East Stars,SIR Dunkley & BF Smith,SIR Dunkley,BF Smith,12,0,12
2020,Lightning,AJ Freeborn & AD Presland,AJ Freeborn,AD Presland,12,4,5
2021,Thunder,AE Dyson & L Marshall,AE Dyson,L Marshall,12,3,8
2020,Northern Diamonds,AL MacDonald & RHM Hopkins,AL MacDonald,RHM Hopkins,12,4,5
2021,Lightning,SJ Bryce & B Ellis,SJ Bryce,B Ellis,12,5,4
2020,Northern Diamonds,AL MacDonald & BA Langston,AL MacDonald,BA Langston,12,10,1
2021,Southern Vipers,E Windsor & EM McCaughan,E Windsor,EM McCaughan,12,2,8
2021,Central Sparks,EL Arlott & IECM Wong,EL Arlott,IECM Wong,12,10,2
2020,Western Storm,LA Parfitt & N Holland,LA Parfitt,N Holland,12,12,0
2020,Southern Vipers,EM McCaughan & CE Dean,EM McCaughan,CE Dean,12,5,7
